uniprot_id,ec_number,name,gene_symbol,organism,pdb_ids,molecular_weight,subunit_structure,sequence_length,ensembl_id
P36888,2.7.10.1,Receptor-type tyrosine-protein kinase FLT3 (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135),FLT3,Homo sapiens,1RJB;3QS7;3QS9;4RT7;4XUF;5X02;6IL3;6JQR;7QDP;7ZV9;8XB1,112903,"Monomer in the absence of bound FLT3LG. Homodimer in the presence of bound FLT3LG. Interacts with FIZ1 following ligand activation (By similarity). Interacts with FES, FER, LYN, FGR, HCK, SRC and GRB2. Interacts with PTPRJ/DEP-1 and PTPN11/SHP2. Interacts with RNF115 and RNF126 (By similarity)",993,ENSG00000122025
P43235,3.4.22.38,Cathepsin K (Cathepsin O) (Cathepsin O2) (Cathepsin X),CTSK,Homo sapiens,1ATK;1AU0;1AU2;1AU3;1AU4;1AYU;1AYV;1AYW;1BGO;1BY8;1MEM;1NL6;1NLJ;1Q6K;1SNK;1TU6;1U9V;1U9W;1U9X;1VSN;1YK7;1YK8;1YT7;2ATO;2AUX;2AUZ;2BDL;2R6N;3C9E;3H7D;3KW9;3KWB;3KWZ;3KX1;3O0U;3O1G;3OVZ;4DMX;4DMY;4N79;4N8W;4X6H;4X6I;4X6J;4YV8;4YVA;5J94;5JA7;5JH3;5TDI,36966,,329,ENSG00000143387
P43405,2.7.10.2,Tyrosine-protein kinase SYK (Spleen tyrosine kinase) (p72-Syk),SYK,Homo sapiens,1A81;1CSY;1CSZ;1XBA;1XBB;1XBC;3BUW;3EMG;3FQE;3FQH;3FQS;3SRV;3TUB;3TUC;3TUD;3VF8;3VF9;4DFL;4DFN;4F4P;4FL1;4FL2;4FL3;4FYN;4FYO;4FZ6;4FZ7;4GFG;4I0R;4I0S;4I0T;4PUZ;4PV0;4PX6;4RSS;4RX7;4RX8;4RX9;4WNM;4XG2;4XG3;4XG4;4XG6;4XG7;4XG8;4XG9;4YJO;4YJP;4YJQ;4YJR,72066,Interacts with LYN; phosphorylates SYK (By similarity). Interacts with RHOH (phosphorylated); regulates mast cells activation (By similarity). Interacts with NFAM1 (phosphorylated); probably involved in BCR signaling (By similarity). Interacts with VAV1 (via SH2 domain); phosphorylates VAV1 upon BCR activation. Interacts with GAB2 (phosphorylated); probably involved in IgE Fc receptor signaling (By similarity). Interacts (via its SH2 domains) with CD79A (via its phosphorylated ITAM domain); the ,635,ENSG00000165025
P50281,3.4.24.80,Matrix metalloproteinase-14 (MMP-14) (MMP-X1) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP),MMP14,Homo sapiens,1BQQ;1BUV;2MQS;3C7X;3MA2;3X23;4P3C;4P3D;4QXU;5H0U;6CLZ;6CM1,65894,Interacts (via C-terminal cytoplasmic tail) with BST2,582,ENSG00000157227
P51160,3.1.4.35,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' (cGMP phosphodiesterase 6C)",PDE6C,Homo sapiens,3JWQ;3JWR;5E8F;9CXG;9CXH;9CXI;9CXJ,99147,"Composed of two alpha' subunits that are associated with 3 smaller proteins of 11, 13, and 15 kDa",858,ENSG00000095464
P51649,1.2.1.24,"Succinate-semialdehyde dehydrogenase, mitochondrial (Aldehyde dehydrogenase family 5 member A1) (NAD(+)-dependent succinic semialdehyde dehydrogenase)",ALDH5A1,Homo sapiens,2W8N;2W8O;2W8P;2W8Q;2W8R,57215,Homotetramer,535,ENSG00000112294
P52333,2.7.10.2,Tyrosine-protein kinase JAK3 (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK),JAK3,Homo sapiens,1YVJ;3LXK;3LXL;3PJC;3ZC6;3ZEP;4HVD;4HVG;4HVH;4HVI;4I6Q;4QPS;4QT1;4RIO;4V0G;4Z16;5LWM;5LWN;5TOZ;5TTS;5TTU;5TTV;5VO6;5W86;5WFJ;6AAK;6DA4;6DB3;6DB4;6DUD;6GL9;6GLA;6GLB;6HZV;6NY4;7APF;7APG;7C3N;7Q6H;7UYV;8EXM;9R5Z,125099,Interacts with STAM2 and MYO18A (PubMed:10899310). Interacts with SHB (PubMed:12200137). Interacts with CD69 (By similarity),1124,ENSG00000105639
P78536,3.4.24.86,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),ADAM17,Homo sapiens,1BKC;1ZXC;2A8H;2DDF;2FV5;2FV9;2I47;2M2F;2OI0;3B92;3CKI;3E8R;3EDZ;3EWJ;3G42;3KMC;3KME;3L0T;3L0V;3LE9;3LEA;3LGP;3O64;8CQY;8SNL;8SNM;8SNN;8SNO;9E6K;9O54;9O58,93021,"Interacts with MAD2L1, MAPK14 and MUC1 (PubMed:12441351, PubMed:20188673). Interacts with iRhom1/RHBDF1 and iRhom2/RHBDF2 (PubMed:29897333). Interacts with FRMD8 via its interaction with iRhom1/RHBDF1 and iRhom2/RHBDF2 (PubMed:29897333). Interacts with TSPAN8 (PubMed:36078095)",824,ENSG00000151694
Q00535,2.7.11.1,Cyclin-dependent kinase 5 (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit),CDK5,Homo sapiens,1H4L;1UNG;1UNH;1UNL;3O0G;4AU8;7VDP;7VDQ;7VDR;7VDS,33304,"Heterodimer composed of a catalytic subunit CDK5 and a regulatory subunit CDK5R1 (p25) and macromolecular complex composed of at least CDK5, CDK5R1 (p35) and CDK5RAP1 or CDK5RAP2 or CDK5RAP3. Only the heterodimer shows kinase activity. Under neurotoxic stress and neuronal injury conditions, p35 is cleaved by calpain to generate p25 that hyperactivates CDK5, that becomes functionally disabled and often toxic. Found in a trimolecular complex with CABLES1 and ABL1. Interacts with CABLES1 and CABLES",292,ENSG00000164885
Q00536,2.7.11.22,Cyclin-dependent kinase 16 (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1),CDK16,Homo sapiens,3MTL;5G6V,55716,"Found in a complex containing CABLES1, CDK17 and TDRD7. Interacts with BRSK2. Identified in a complex with NSF, syntaxin-1, synaptotagmin, SYN1, SYP and CDK5R1 (By similarity). Interacts with YWHAH, YWHAQ and YWHAZ. Interacts with CCNY; this interaction increases the CDK16 kinase activity (By similarity). Interacts with CCNYL1; this interaction mutually increases the stability of CDK16 and CCNYL1 and increases the kinase activity of CDK16 (By similarity). Interacts with NSF (By similarity)",496,ENSG00000102225
Q00987,2.3.2.27,E3 ubiquitin-protein ligase Mdm2 (Double minute 2 protein) (Hdm2) (Oncoprotein Mdm2) (RING-type E3 ubiquitin transferase Mdm2) (p53-binding protein Mdm2),MDM2,Homo sapiens,1RV1;1T4E;1T4F;1YCR;1Z1M;2AXI;2C6A;2C6B;2F1Y;2FOP;2GV2;2HDP;2LZG;2M86;2MPS;2RUH;2VJE;2VJF;3EQS;3G03;3IUX;3IWY;3JZK;3JZR;3JZS;3LBK;3LBL;3LNJ;3LNZ;3MQS;3TJ2;3TPX;3TU1;3V3B;3VBG;3VZV;3W69;4DIJ;4ERE;4ERF;4HBM;4HFZ;4HG7;4JV7;4JV9;4JVE;4JVR;4JWR;4MDN;4MDQ,55233,"Component of a ternary complex composed of FAM193A, MDM4 and MDM2; interaction of FAM193A with MDM4 is mediated by the MDM4 RING-type zinc finger and results in MDM4 destabilization, leading to enhanced p53/TP53 transcriptional activity (PubMed:36897777). Although FAM193A interacts with MDM4 and MDM2, it does not affect formation of the p53-MDM2-MDM4 transcriptional repressor complex (PubMed:36897777). Interacts with TP53/p53 (PubMed:11351297, PubMed:7689721, PubMed:16219768, PubMed:20858735, Pu",491,ENSG00000135679
Q02156,2.7.11.13,Protein kinase C epsilon type (nPKC-epsilon),PRKCE,Homo sapiens,2WH0;5LIH,83674,Forms a ternary complex with TRIM63 and RACK1/GN2BL1 (By similarity). Can form a complex with PDLIM5 and N-type calcium channel (By similarity). Interacts with COPB1 (By similarity). Interacts with DGKQ (PubMed:15632189). Interacts with STAT3 (PubMed:17875724). Interacts with YWHAB (By similarity). Interacts with HSP90AB1; promotes functional activation in a heat shock-dependent manner (PubMed:20353823). Interacts (via phorbol-ester/DAG-type 2 domain) with PRPH and VIM (PubMed:18408015). Interac,737,ENSG00000171132
Q02750,2.7.12.2,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1),MAP2K1,Homo sapiens,1S9J;2P55;3DV3;3DY7;3E8N;3EQB;3EQC;3EQD;3EQF;3EQG;3EQH;3EQI;3MBL;3ORN;3OS3;3PP1;3SLS;3V01;3V04;3VVH;3W8Q;3WIG;3ZLS;3ZLW;3ZLX;3ZLY;3ZM4;4AN2;4AN3;4AN9;4ANB;4ARK;4LMN;4MNE;4U7Z;4U80;4U81;5BX0;5EYM;5HZE;5YT3;6NYB;6PP9;6Q0J;6Q0T;6U2G;6V2W;6X2P;6X2S;6X2X,43439,"Found in a complex with at least BRAF, HRAS, MAP2K1, MAPK3/ERK1 and RGS14 (By similarity). Forms a heterodimer with MAP2K2/MEK2 (By similarity). Forms heterodimers with KSR2 which further dimerize to form tetramers (By similarity). Interacts with KSR1 or KSR2 and BRAF; the interaction with KSR1 or KSR2 mediates KSR1-BRAF or KSR2-BRAF dimerization (PubMed:10409742, PubMed:29433126). Interacts with ARBB2, LAMTOR3 and RAF1 (By similarity). Interacts with MAPK1/ERK2 (PubMed:32721402). Interacts with",393,ENSG00000169032
Q05397,2.7.10.2,Focal adhesion kinase 1 (FADK 1) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK),PTK2,Homo sapiens,1K04;1K05;1MP8;1OW6;1OW7;1OW8;2ETM;2IJM;3B71;3BZ3;3PXK;3S9O;4EBV;4EBW;4GU6;4GU9;4I4E;4I4F;4K8A;4K9Y;4KAB;4KAO;4NY0;4Q9S;6I8Z;6LES;6PW8;6YOJ;6YQ1;6YR9;6YT6;6YVS;6YVY;6YXV;7PI4;7W7Z;7W8B;7W8I;7W9U;9SDI,119233,"Interacts (via first Pro-rich region) with CAS family members (via SH3 domain), including BCAR1, BCAR3, and CASS4. Interacts with NEDD9 (via SH3 domain) (PubMed:9360983). Interacts with GIT1. Interacts with SORBS1. Interacts with ARHGEF28. Interacts with SHB. Part of a complex composed of THSD1, PTK2/FAK1, TLN1 and VCL (PubMed:29069646). Interacts with PXN and TLN1. Interacts with STAT1. Interacts with DCC. Interacts with WASL. Interacts with ARHGEF7. Interacts with GRB2 and GRB7 (By similarity)",1052,ENSG00000169398
Q05655,2.7.10.2,Protein kinase C delta type (Tyrosine-protein kinase PRKCD) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],PRKCD,Homo sapiens,1YRK;2YUU,77505,Interacts with PDPK1 (via N-terminal region) (PubMed:11781095). Interacts with RAD9A (PubMed:12628935). Interacts with CDCP1 (PubMed:15851033). Interacts with MUC1 (PubMed:11877440). Interacts with VASP (PubMed:16940418). Interacts with CAVIN3 (By similarity). Interacts with PRKD2 (via N-terminus and zing-finger domain 1 and 2) in response to oxidative stress; the interaction is independent of PRKD2 tyrosine phosphorylation (PubMed:28428613). Interacts with PLSC3; interaction is enhanced by UV i,676,ENSG00000163932
Q06187,2.7.10.2,Tyrosine-protein kinase BTK (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase),BTK,Homo sapiens,1AWW;1AWX;1B55;1BTK;1BWN;1K2P;1QLY;2GE9;2Z0P;3GEN;3K54;3OCS;3OCT;3P08;3PIX;3PIY;3PIZ;3PJ1;3PJ2;3PJ3;4NWM;4OT5;4OT6;4OTF;4OTQ;4OTR;4RFY;4RFZ;4RG0;4RX5;4YHF;4Z3V;4ZLY;4ZLZ;5BPY;5BQ0;5FBN;5FBO;5J87;5JRS;5KUP;5P9F;5P9G;5P9H;5P9I;5P9J;5P9K;5P9L;5P9M;5T18,76281,"Part of a complex composed of EEIG1, TNFRSF11A/RANK, PLCG2, GAB2, TEC and BTK; complex formation increases in the presence of TNFSF11/RANKL (By similarity). Binds GTF2I through the PH domain. Interacts with SH3BP5 via the SH3 domain. Interacts with IBTK via its PH domain. Interacts with ARID3A, CAV1, FASLG, PIN1, TLR8 and TLR9. Interacts with MPL/TPOR (PubMed:24607955). Interacts with STAC2; this interaction affects association with PLCG2 and subsequent PLCG2 phosphorylation (By similarity)",659,ENSG00000010671
Q08881,2.7.10.2,Tyrosine-protein kinase ITK/TSK (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk),ITK,Homo sapiens,1SM2;1SNU;1SNX;2E6I;2LMJ;2YUQ;3MIY;3MJ1;3MJ2;3QGW;3QGY;3T9T;3V5J;3V5L;3V8T;3V8W;4HCT;4HCU;4HCV;4KIO;4L7S;4M0Y;4M0Z;4M12;4M13;4M14;4M15;4MF0;4MF1;4PP9;4PPA;4PPB;4PPC;4PQN;4QD6;4RFM;9NWX,71831,Homooligomerizes; this association negatively regulates kinase activity (By similarity). Interacts with PPIA/CYPA; this interaction regulates TCR signal strength via a proline-directed conformational switch in ITK. Interacts with THEMIS (By similarity). Interacts with FASLG. Interacts with VAV1; this interaction is important for VAV1 localization and TCR-induced actin polarization. Interacts with TBX21 (By similarity),620,ENSG00000113263
Q12866,2.7.10.1,Tyrosine-protein kinase Mer (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK),MERTK,Homo sapiens,2DBJ;2P0C;3BPR;3BRB;3TCP;4M3Q;4MH7;4MHA;5K0K;5K0X;5TC0;5TD2;5U6C;6MEP;7AAX;7AAY;7AAZ;7AB0;7AB1;7AB2;7AVX;7AVY;7AVZ;7AW0;7AW1;7AW2;7AW3;7AW4;7CQE;7DXL;7M5Z;7OAM;7OLS;7OLV;7OLX;7XHY;9BHI;9BHJ;9BHK;9KRY;9KRZ;9KS9,110249,"Interacts (upon activation) with TNK2; stimulates TNK2 autophosphorylation. Interacts (via N-terminus) with extracellular ligands LGALS3, TUB, TULP1 and GAS6 (By similarity). Interacts with VAV1 in a phosphotyrosine-independent manner. Interacts with TIMD4; this interaction enhances TIMD4-mediated efferocytosis (PubMed:32640697)",999,ENSG00000153208
Q13085,6.4.1.2,Acetyl-CoA carboxylase 1 (ACC1) (Acetyl-Coenzyme A carboxylase alpha) (ACC-alpha),ACACA,Homo sapiens,2YL2;3COJ;4ASI;6G2D;6G2H;6G2I;8XKZ;8XL0;8XL1;8XL2,265554,"Monomer, homodimer, and homotetramer (PubMed:20952656, PubMed:29899443). Can form filamentous polymers (PubMed:20457939, PubMed:20952656, PubMed:29899443). Interacts in its inactive phosphorylated form with the BRCT domains of BRCA1 which prevents ACACA dephosphorylation and inhibits lipid synthesis (PubMed:12360400, PubMed:16326698, PubMed:18452305, PubMed:29899443). Interacts with MID1IP1; interaction with MID1IP1 promotes oligomerization and increases its activity (PubMed:20457939)",2346,ENSG00000278540
Q13547,3.5.1.98,Histone deacetylase 1 (HD1) (Protein deacetylase HDAC1) (Protein deacylase HDAC1),HDAC1,Homo sapiens,4BKX;5ICN;6Z2J;6Z2K;7AO8;7AO9;7AOA;7SME;8VOJ;8VPQ;8VRT,55103,"Part of the core histone deacetylase (HDAC) complex composed of HDAC1, HDAC2, RBBP4 and RBBP7, the core complex associates with SIN3, SAP18 and SAP30 to form the SIN3 HDAC complex (PubMed:12493763, PubMed:12724404, PubMed:19061646). Component of the nucleosome remodeling and deacetylase (NuRD) repressor complex, composed of core proteins MTA1, MTA2, MTA3, RBBP4, RBBP7, HDAC1, HDAC2, MBD2, MBD3, and peripherally associated proteins CDK2AP1, CDK2AP2, GATAD2A, GATAD2B, CHD3, CHD4 and CHD5 (PubMed:1",482,ENSG00000116478
Q14123,3.1.4.17,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (Hcam3)",PDE1C,Homo sapiens,,80760,Homodimer,709,ENSG00000154678
Q16518,3.1.1.64,Retinoid isomerohydrolase (All-trans-retinyl-palmitate hydrolase) (Lutein isomerase) (Meso-zeaxanthin isomerase) (Retinal pigment epithelium-specific 65 kDa protein) (Retinol isomerase),RPE65,Homo sapiens,,60948,Interacts with MYO7A; this mediates light-dependent intracellular transport of RPE65,533,ENSG00000116745
Q76LX8,3.4.24.87,A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease),ADAMTS13,Homo sapiens,3GHM;3GHN;3VN4;6QIG;7B01,153604,,1427,ENSG00000160323
Q8IW41,2.7.11.1,MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5) (p38-regulated/activated protein kinase) (PRAK),MAPKAPK5,Homo sapiens,,54220,Interacts with ERK3/MAPK6 and ERK4/MAPK4 (via FRIEDE motif); the interaction is direct (By similarity). Interacts with YWHAE; the interaction prevents phosphorylation of HSP27/HSPB1 leading to disrupt F-actin polymerization. Interacts with SQSTM1,473,ENSG00000089022
Q9H237,2.3.1.250,Protein-serine O-palmitoleoyltransferase porcupine (Protein MG61),PORCN,Homo sapiens,7URA;7URC;7URD;7URE;9OO6;9OO7;9OO8,52318,"Interacts with WNT1, WNT3, WNT3A, WNT4, WNT5A, WNT5B, WNT6, WNT7A and WNT7B",461,ENSG00000102312
Q9NWZ3,2.7.11.1,Interleukin-1 receptor-associated kinase 4 (IRAK-4) (Renal carcinoma antigen NY-REN-64),IRAK4,Homo sapiens,2NRU;2NRY;2O8Y;2OIB;2OIC;2OID;3MOP;4RMZ;4U97;4U9A;4XS2;4Y73;4YO6;4YP8;4ZTL;4ZTM;4ZTN;5K72;5K75;5K76;5K7G;5K7I;5KX7;5KX8;5T1S;5T1T;5UIQ;5UIR;5UIS;5UIT;5UIU;5W84;5W85;6EG9;6EGA;6EGD;6EGE;6EGF;6F3D;6F3E;6F3G;6F3I;6LXY;6MOM;6N8G;6O8U;6O94;6O95;6O9D;6RFI,51530,"Associates with MYD88 and IRAK2 to form a ternary complex called the Myddosome (PubMed:16951688, PubMed:24316379). Once phosphorylated, IRAK4 dissociates from the receptor complex and then associates with the TNF receptor-associated factor 6 (TRAF6), IRAK1, and PELI1; this intermediate complex is required for subsequent NF-kappa-B activation (PubMed:11960013, PubMed:12496252, PubMed:16951688). Direct binding of SMAD6 to PELI1 prevents complex formation and hence negatively regulates IL1R-TLR sig",460,ENSG00000198001
O43451,3.2.1.20,"Maltase-glucoamylase (Alpha-1,4-glucosidase)",MGAM,Homo sapiens,2QLY;2QMJ;3CTT;3L4T;3L4U;3L4V;3L4W;3L4X;3L4Y;3L4Z;3TON;3TOP,312022,Monomer,2753,ENSG00000257335
O43570,4.2.1.1,Carbonic anhydrase 12 (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3),CA12,Homo sapiens,1JCZ;1JD0;4HT2;4KP5;4KP8;4Q0L;4QJ0;4QJO;4QJW;4WW8;5LL5;5LL9;5LLO;5LLP;5MSA;5MSB;6G5L;6G7A;6QN0;6QNG;6QNL;6R6Y;6R71;6RPS;6T5P;6T5Q;7PP9;7PUU;7PUV;7PUW;8CO3;9F2N;9F2O;9F30;9F3G;9FN7;9FN8;9R0L;9R0U;9R31,39451,Homodimer,354,ENSG00000074410
O43734,2.3.2.27,E3 ubiquitin ligase TRAF3IP2 (Adapter protein CIKS) (Connection to IKK and SAPK/JNK) (E3 ubiquitin-protein ligase CIKS) (Nuclear factor NF-kappa-B activator 1) (ACT1) (TRAF3-interacting protein 2),TRAF3IP2,Homo sapiens,9OT1,64666,"Interacts with IKBKG/NF-kappa B essential modulator, with CHUK/IKK-alpha and with IKBKB/IKK-beta (PubMed:12459498). Interacts with TRAF6; this interaction is direct (PubMed:12459498, PubMed:19825828). Interacts with IL17RA and IL17RC (PubMed:19825828, PubMed:24120361, PubMed:33723527). Interacts with IL17RB (PubMed:24120361)",574,ENSG00000056972
O60341,1.14.11.65,Lysine-specific histone demethylase 1A   (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),KDM1A,Homo sapiens,2COM;2DW4;2EJR;2H94;2HKO;2IW5;2L3D;2UXN;2UXX;2V1D;2X0L;2XAF;2XAG;2XAH;2XAJ;2XAQ;2XAS;2Y48;2Z3Y;2Z5U;3ABT;3ABU;3ZMS;3ZMT;3ZMU;3ZMV;3ZMZ;3ZN0;3ZN1;4BAY;4CZZ;4KUM;4UV8;4UV9;4UVA;4UVB;4UVC;4UXN;4XBF;5AFW;5H6Q;5H6R;5IT3;5L3B;5L3C;5L3D;5L3E;5L3F;5L3G;5LBQ,92903,"Component of a histone demethylase complex with RCOR1 (PubMed:16885027, PubMed:20389281, PubMed:21300290, PubMed:23721412). Component of a RCOR/GFI/KDM1A/HDAC complex (PubMed:11102443, PubMed:12032298). Component of a BHC histone deacetylase complex that contains HDAC1, HDAC2, HMG20B, KDM1A, RCOR1 and PHF21A. The BHC complex may also contain ZMYM2, ZNF217, ZMYM3, GSE1 and GTF2I (PubMed:12493763, PubMed:16140033, PubMed:16885027). In the complex, RCOR1/CoREST strongly enhances the demethylase act",852,ENSG00000004487
O75306,7.1.1.2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",NDUFS2,Homo sapiens,5XTB;5XTC;5XTD;5XTH;5XTI;9CWT;9I4I;9TI4,52546,"Core subunit of respiratory chain NADH dehydrogenase (Complex I) which is composed of 45 different subunits. Component of the iron-sulfur (IP) fragment of the enzyme (PubMed:12611891). Interacts with NDUFAF3 (PubMed:19463981). Interacts with NDUFAF7 (PubMed:20406883, PubMed:24089531). Interacts with CERS2 (By similarity)",463,ENSG00000158864
O95477,7.6.2.1,Phospholipid-transporting ATPase ABCA1 (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein),ABCA1,Homo sapiens,5XJY;7ROQ;7TBW;7TBY;7TBZ;7TC0;7TDT,254302,Interacts with MEGF10 (PubMed:17205124). May interact with APOE1; functionally associated with APOE1 in the biogenesis of HDLs (PubMed:14754908). Interacts with ABCA8; this interaction potentiates cholesterol efflux (PubMed:28882873). Interacts with ABCA12 and NR1H2; this interaction is required for ABCA1 localization to the cell surface and is necessary for its normal activity and stability (PubMed:23931754),2261,ENSG00000165029
P00390,1.8.1.7,"Glutathione reductase, mitochondrial (GR) (GRase)",GSR,Homo sapiens,1ALG;1BWC;1DNC;1GRA;1GRB;1GRE;1GRF;1GRG;1GRH;1GRT;1GSN;1K4Q;1XAN;2AAQ;2GH5;2GRT;3DJG;3DJJ;3DK4;3DK8;3DK9;3GRS;3GRT;3SQP;4GR1;4GRT;5GRT,56257,Homodimer; disulfide-linked,522,ENSG00000104687
P00439,1.14.16.1,Phenylalanine-4-hydroxylase (PAH) (Phe-4-monooxygenase),PAH,Homo sapiens,1DMW;1J8T;1J8U;1KW0;1LRM;1MMK;1MMT;1PAH;1TDW;1TG2;2PAH;3PAH;4ANP;4PAH;5FII;5PAH;6HPO;6HYC;6N1K;6PAH,51862,Homodimer and homotetramer,452,ENSG00000171759
P00533,2.7.10.1,Epidermal growth factor receptor (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),EGFR,Homo sapiens,1IVO;1M14;1M17;1MOX;1NQL;1XKK;1YY9;1Z9I;2EB2;2EB3;2GS2;2GS6;2GS7;2ITN;2ITO;2ITP;2ITQ;2ITT;2ITU;2ITV;2ITW;2ITX;2ITY;2ITZ;2J5E;2J5F;2J6M;2JIT;2JIU;2JIV;2KS1;2M0B;2M20;2N5S;2RF9;2RFD;2RFE;2RGP;3B2U;3B2V;3BEL;3BUO;3C09;3G5V;3G5Y;3GOP;3GT8;3IKA;3LZB;3NJP,134277,"Binding of the ligand triggers homo- and/or heterodimerization of the receptor triggering its autophosphorylation. Heterodimer with ERBB2 (PubMed:10805725). Forms a complex with CCDC88A/GIV (via SH2-like regions) and GNAI3 which leads to enhanced EGFR signaling and triggering of cell migration; binding to CCDC88A requires autophosphorylation of the EGFR C-terminal region, and ligand stimulation is required for recruitment of GNAI3 to the complex (PubMed:20462955, PubMed:25187647). Interacts with",1210,ENSG00000146648
P00742,3.4.21.6,Coagulation factor X (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain],F10,Homo sapiens,1C5M;1EZQ;1F0R;1F0S;1FAX;1FJS;1FXY;1G2L;1G2M;1HCG;1IOE;1IQE;1IQF;1IQG;1IQH;1IQI;1IQJ;1IQK;1IQL;1IQM;1IQN;1KSN;1LPG;1LPK;1LPZ;1LQD;1MQ5;1MQ6;1NFU;1NFW;1NFX;1NFY;1P0S;1V3X;1WU1;1XKA;1XKB;1Z6E;2BMG;2BOH;2BOK;2BQ6;2BQ7;2BQW;2CJI;2D1J;2EI6;2EI7;2EI8;2FZZ,54732,"The two chains are formed from a single-chain precursor by the excision of two Arg residues and are held together by 1 or more disulfide bonds. Forms a heterodimer with SERPINA5. Interacts (inactive and activated) with ixolaris, an anticoagulant protein from Ixodes scapularis saliva (PubMed:11986214, PubMed:31133602, PubMed:18042685, PubMed:16807644). Interacts (activated) with iripin-8, a serine protease inhibitor from Ixodes ricinus saliva (PubMed:34502392). Interacts (activated) with FXa-dire",488,ENSG00000126218
P00746,3.4.21.46,Complement factor D (Adipsin) (C3 convertase activator) (Properdin factor D),CFD,Homo sapiens,1BIO;1DFP;1DIC;1DST;1DSU;1FDP;1HFD;2XW9;2XWA;2XWB;4CBN;4CBO;4D9R;5FBE;5FBI;5FCK;5MT0;5MT4;5NAR;5NAT;5NAW;5NB6;5NB7;5NBA;5TCA;5TCC;6FTY;6FTZ;6FUG;6FUH;6FUI;6FUJ;6FUT;6QMR;6QMT;6VMJ;6VMK;8D95;8DEA;8DG6,27033,,253,ENSG00000197766
